OBJECTID,COMPLEX_NAME,ORGANIZATION_NAME,UNIT_NAME,UNIT_TYPE,INTEREST_TYPE1,INTEREST_TYPE2,ACRES,SHAPE.AREA,SHAPE.LEN
4767,AUDUBON COMPLEX,AUDUBON NATIONAL WILDLIFE REFUGE,Audubon National Wildlife Refuge,NWR,Secondary, ,14778.72896282,0.007150710151162709,0.5528148035148659
4767,AUDUBON COMPLEX,AUDUBON NATIONAL WILDLIFE REFUGE,Audubon National Wildlife Refuge,NWR,Secondary, ,14778.72896282,0.007150710151162709,0.5528148035148659
4768,VALLEY CITY WMD,BALDHILL DAM NATIONAL FISH HATCHERY,Baldhill Dam National Fish Hatchery,NFH,Secondary, ,37.10523689,1.7770095379195e-05,0.0190756623060868
4768,VALLEY CITY WMD,BALDHILL DAM NATIONAL FISH HATCHERY,Baldhill Dam National Fish Hatchery,NFH,Secondary, ,37.10523689,1.7770095379195e-05,0.0190756623060868
4769,SOURIS RIVER BASIN COMPLEX,BUFFALO LAKE NATIONAL WILDLIFE REFUGE,Buffalo Lake National Wildlife Refuge,NWR,Owned, ,22.05327232,1.0758200271377999e-05,0.0141351207279356
4769,SOURIS RIVER BASIN COMPLEX,BUFFALO LAKE NATIONAL WILDLIFE REFUGE,Buffalo Lake National Wildlife Refuge,NWR,Owned, ,22.05327232,1.0758200271377999e-05,0.0141351207279356
4770,LONG LAKE WMD,CANFIELD LAKE NATIONAL WILDLIFE REFUGE,Canfield Lake National Wildlife Refuge,NWR,Owned, ,1.44925274,6.960379100265e-07,0.00561136015245193
4770,LONG LAKE WMD,CANFIELD LAKE NATIONAL WILDLIFE REFUGE,Canfield Lake National Wildlife Refuge,NWR,Owned, ,1.44925274,6.960379100265e-07,0.00561136015245193
4771,LONG LAKE WMD,CANFIELD LAKE NATIONAL WILDLIFE REFUGE,Canfield Lake National Wildlife Refuge,NWR,Owned, ,1.99355122,9.57450823868e-07,0.00476674553937624
4771,LONG LAKE WMD,CANFIELD LAKE NATIONAL WILDLIFE REFUGE,Canfield Lake National Wildlife Refuge,NWR,Owned, ,1.99355122,9.57450823868e-07,0.00476674553937624
4772,ARROWWOOD COMPLEX,CHASE LAKE NATIONAL WILDLIFE REFUGE,Chase Lake National Wildlife Refuge,NWR,Owned, ,4354.17662608,0.00208429734415723,0.22179767805175896
