County,Web Site,Notifications,User Fees
Adair,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",¯\_(?)_/¯
*** All Areas ***,¯\_(ツ)_/¯,¯\_(?)_/¯,None
*** All Areas ***,¯\_(ツ)_/¯,The Weather Channel Severe Weather Alerts,None
¯\_(?)_/¯,¯\_(ツ)_/¯,Wunderground.com Weather Alerts ,"Free or paid membership, user can choose"
Andrew,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alert Emails,None
Andrew,¯\_(ツ)_/¯,¯\_(?)_/¯,None 
Andrew,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,¯\_(?)_/¯
Andrew,¯\_(ツ)_/¯,¯\_(?)_/¯,None
Atchison,¯\_(ツ)_/¯,Textcaster Severe Weather Warnings,None
¯\_(?)_/¯,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Atchison,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alerts,None
Audrain,¯\_(ツ)_/¯,¯\_(?)_/¯,None
Audrain,¯\_(ツ)_/¯,Textcaster Severe Weather Alerts ,¯\_(?)_/¯
Audrain,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Audrain,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Audrain,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Audrain,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Audrain,¯\_(ツ)_/¯,Audrain County Citizen Emergency Notification System,None
Audrain,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Audrain,¯\_(ツ)_/¯,WGEM Severe Weather Alerts ,None
Barry,¯\_(ツ)_/¯,Branson Severe Weather Alerts,
Barry,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Barry,¯\_(ツ)_/¯,KTTS Severe Weather Warnings Apps,None
Barry,¯\_(ツ)_/¯,Textcaster* Severe Weather Warnings,None
Barton,¯\_(ツ)_/¯,KY3 Severe Weather Warnings,None
Barton,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Bates,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Bates,¯\_(ツ)_/¯,KCTV Severe Weather Text Alerts,None
Bates,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Benton,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Benton,¯\_(ツ)_/¯,KSPR Severe Weather Warnings,None
Bollinger,¯\_(ツ)_/¯,Southeast Missourian Severe Weather Alerts ,None
Bollinger,¯\_(ツ)_/¯,KFVS12 Severe Weather Alerts ,None/Standard Messaging Data Rates
Boone,¯\_(ツ)_/¯,Jefferson City Newstribune Severe Weather Alerts,$10/year (phone) and $5/year (email) 
Boone,¯\_(ツ)_/¯,Weather Call by Media Weather Innovations Severe Weather Alerts,$9.95/year per land line and $11.95/year per smart phone
Boone,¯\_(ツ)_/¯,KOMU Severe Weather Warnings,None
Boone,¯\_(ツ)_/¯,ZTXT Severe Weather Alerts ,None
Boone,¯\_(ツ)_/¯,KMIZ Severe Weather Alerts,None/Standard Messaging Data Rates
Boone,¯\_(ツ)_/¯,Textcaster Severe Weather Alerts ,None
Buchanan,¯\_(ツ)_/¯,Kansas City Star Severe Weather Alerts,None
Buchanan,¯\_(ツ)_/¯,Severe Weather Text Alerts,None
Buchanan,¯\_(ツ)_/¯,"KSHB Severe Weather Alerts--Mobile ""Coming Soon"" ",None 
Buchanan,¯\_(ツ)_/¯,St. Joseph News Press Severe Weather Alerts,None
