title;url;comment;satisfaction;received;category;column_7;column_8;column_9;column_10;column_11;column_12;column_13;column_14;column_15;column_16;column_17;column_18;column_19;column_20;column_21;column_22;column_23;column_24;column_25;column_26;column_27;column_28
Town of Cary : Town Departments & Offices;http://www.townofcary.org/connect-engage/town-departments-offices;Under each dept listed they should give a contact phone number or extension number.  Should not have to go to another location on web to find a phone number.;2;1/27/2017 10:05;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Calendar;http://www.townofcary.org/connect-engage/calendar;I hate this feedback tab sticking into my mobile phone screen! Blocks content in the right . Pls remove;2;2/1/2017 20:14;Look/Feel;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;no;1;2/3/2017 15:40;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Bond Park Community Center;http://www.townofcary.org/recreation-enjoyment/facilities/bond-park-community-center;;5;2/2/2017 16:58;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Water Treatment;http://www.townofcary.org/services-publications/water-sewer/water/water-treatment;;4;1/30/2017 23:48;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : New to Cary?;http://www.townofcary.org/services-publications/new-to-cary;;4;2/2/2017 15:04;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary : Home;http://www.townofcary.org;;5;2/2/2017 14:52;;;;;;;;;;;;;;;;;;;;;;;
Town of Cary | Home;http://www.townofcary.org/?splash=http%3a%2f%2fwww.teamsideline.com%2fOrg%2fHome.aspx%3fd%3d%252box4z56A3NF%252fIx1fhdIADA%253d%253d&____isexternal=true;I am trying to see the adult softball schedule..... says connecting........................................ ...................................................................................................!?;2;6/13/2017 13:27;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
Lazy Daze Arts and Crafts Festival | Town of Cary;http://www.townofcary.org/recreation-enjoyment/events/festivals/lazy-daze-arts-and-crafts-festival;"""Hello";"you Cary Town Hall Campus link on the Lazy Days page does not work""";3;6/7/2017 10:11;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;
Land Development Ordinance | Town of Cary;http://www.townofcary.org/services-publications/residential-permits-inspections/development-regulations/land-development-ordinance;Your links do not work! They go back to your main home page with the circle. Frustrating when trying to find information!;1;6/13/2017 22:02;Content/Function Requests;;;;;;;;;;;;;;;;;;;;;;
