destination,type,weight
Minneapolis,Taro,0.1
Minneapolis,Beetroot,2.06
Minneapolis,Rutabaga,4.05
St. Louis,Taro,3.38
St. Louis,Beetroot,2.73
Minneapolis,Jicama,2.63
St. Louis,Beetroot,1.93
Minneapolis,Taro,0.92
St. Louis,Yam,3.85
St. Louis,Beetroot,0.1
Minneapolis,Rutabaga,3.3
Minneapolis,Rutabaga,2.1
St. Louis,Beetroot,0.1
St. Louis,Beetroot,1.53
St. Louis,Rutabaga,2.52
St. Louis,Beetroot,0.1
St. Louis,Rutabaga,2.68
Minneapolis,Jicama,2.09
St. Louis,Beetroot,3.37
St. Louis,Beetroot,0.95
St. Louis,Jicama,1.79
Minneapolis,Jicama,1.7
St. Louis,Rutabaga,3.35
St. Louis,Taro,1.43
Minneapolis,Beetroot,0.59
St. Louis,Rutabaga,4.43
St. Louis,Beetroot,2.0
Minneapolis,Yam,2.18
Minneapolis,Yam,3.29
St. Louis,Rutabaga,2.3
St. Louis,Rutabaga,2.98
Minneapolis,Beetroot,1.51
Minneapolis,Rutabaga,3.97
St. Louis,Rutabaga,2.75
St. Louis,Rutabaga,4.18
Minneapolis,Beetroot,0.6
St. Louis,Rutabaga,3.88
St. Louis,Beetroot,0.1
St. Louis,Beetroot,0.4
St. Louis,Taro,1.06
St. Louis,Taro,0.97
St. Louis,Taro,0.32
Minneapolis,Beetroot,0.37
St. Louis,Rutabaga,4.06
St. Louis,Jicama,1.22
St. Louis,Rutabaga,3.21
St. Louis,Taro,0.1
St. Louis,Rutabaga,0.48
St. Louis,Rutabaga,2.02
Minneapolis,Rutabaga,3.05
St. Louis,Jicama,2.48
St. Louis,Rutabaga,2.63
St. Louis,Taro,1.91
St. Louis,Jicama,3.24
St. Louis,Beetroot,1.95
St. Louis,Rutabaga,2.53
St. Louis,Beetroot,3.0
St. Louis,Beetroot,0.94
St. Louis,Beetroot,2.56
St. Louis,Jicama,2.37
Minneapolis,Jicama,1.16
Minneapolis,Rutabaga,1.37
St. Louis,Jicama,1.49
St. Louis,Jicama,1.15
St. Louis,Rutabaga,3.0
St. Louis,Beetroot,2.67
Minneapolis,Rutabaga,3.19
St. Louis,Rutabaga,3.6
St. Louis,Beetroot,0.1
Minneapolis,Taro,0.1
St. Louis,Jicama,2.9
Minneapolis,Taro,1.0
St. Louis,Beetroot,0.1
St. Louis,Beetroot,0.22
St. Louis,Beetroot,0.62
St. Louis,Yam,3.57
St. Louis,Taro,1.81
Minneapolis,Jicama,2.19
Minneapolis,Jicama,1.47
St. Louis,Taro,0.1
Minneapolis,Beetroot,0.1
St. Louis,Rutabaga,4.45
St. Louis,Rutabaga,2.72
Minneapolis,Rutabaga,2.28
St. Louis,Rutabaga,4.48
Minneapolis,Beetroot,0.1
St. Louis,Rutabaga,3.17
St. Louis,Beetroot,0.1
St. Louis,Beetroot,0.1
St. Louis,Jicama,1.69
Minneapolis,Taro,0.84
Minneapolis,Taro,0.8
Minneapolis,Beetroot,0.18
St. Louis,Beetroot,1.55
St. Louis,Taro,1.28
Minneapolis,Beetroot,0.36
St. Louis,Rutabaga,3.85
Minneapolis,Rutabaga,2.0
St. Louis,Taro,0.1
St. Louis,Beetroot,0.1
